"X","Y"
123.9,80.6
118.9,80.1
131.5,85.3
123.1,77.5
119.2,79.1
125.1,82.5
126.2,76.2
125.5,84.2
121.7,75.4
119,78.4
122.6,82.3
121.9,81.4
119.8,87.1
123.1,76.6
122.7,90.1
124.3,81.5
118.6,76.4
129.5,80.8
125.5,77.6
123.6,79
129.6,86.3
125,88.6
127.9,79.2
130.5,79.9
115.5,75.7
123.6,82.8
116.4,84
122.7,81.8
121.3,79.1
122.6,82.8
124.8,79.7
116.3,82.9
123,78.1
125,86.9
126.5,79.5
121.1,86.9
120.6,85.4
126.6,85.3
129.1,79.9
128,81.7
123.5,85.6
122.4,77.7
120.2,82.6
117.7,83.1
115,77.5
125.1,86.7
120.7,79.2
130,79.8
119.1,82.2
122.8,79.3
117.3,80.6
124.2,78.5
122,86.3
122.7,81.4
126.2,80.3
120.7,78.4
118,83.4
117.4,79.7
120.4,77.3
117.7,78
121.1,82.2
123,78.7
125.4,78.8
129.2,81.8
116.4,76.5
127.9,79.6
120.9,78.6
123,84.4
119.5,83.5
118.5,70.9
121.5,80.4
125.2,83.9
118.7,85.5
121.1,81.9
118.9,80.8
119.9,82.3
124.7,79.1
117.6,80.8
123.5,83
122,81.3
124.8,78.1
121.5,80.8
123.9,85.2
117.6,81.8
126.9,79
125.9,83.6
117.9,81.5
121.6,79.1
121.6,80.8
121.3,85.1
116,82.2
128,83.3
120.1,79.8
116,79.6
118.4,82.4
123.7,82.1
115.3,79.2
127.8,82.5
124.8,82.8
121.3,84
118.8,80.1
128.9,82.9
125.7,83.8
